merchant,description,amount,category,date,timestamp
IRCTC,flight booking,5287.46,TRANSPORTATION,2024-04-29,2024-04-29 10:09:56
Spotify Ltd,streaming subscription,1895.67,ENTERTAINMENT,2024-09-24,2024-09-24 10:09:56
Maintenance,broadband pymnt,3000.0,UTILITIES,2024-08-25,2024-08-25 10:09:56
Workshop,book purchase,35564.02,EDUCATION,2024-07-20,2024-07-20 10:09:56
HDFC AMC,bond investment,1000.0,INVESTMENT,2024-07-28,2024-07-28 10:09:56
Spa,repair work,9343.41,MISCELLANEOUS,2024-10-20,2024-10-20 10:09:56
Eye Specialist,medical checkup,7708.52,HEALTHCARE,2025-03-01,2025-03-01 10:09:56
Wedding Expenses,service fee,409.52,MISCELLANEOUS,2025-06-05,2025-06-05 10:09:56
BSES,mobile recharge,1549.63,UTILITIES,2024-05-11,2024-05-11 10:09:56
Medical Store,cosmetics,34592.56,SHOPPING,2025-10-11,2025-10-11 10:09:56
Medical Store,dental treatment,3000.0,HEALTHCARE,2025-05-03,2025-05-03 10:09:56
Pharmacy,Net Banking - pharmacy,16777.65,HEALTHCARE,2024-06-01,2024-06-01 10:09:56
BYJU'S,certification cost,1000.0,EDUCATION,2024-09-02,2024-09-02 10:09:56
Voot,gaming,438.3,ENTERTAINMENT,2025-06-12,2025-06-12 10:09:56
Burger King,Mobile Banking - dinner payment,329.59,FOOD_DINING,2024-05-20,2024-05-20 10:09:56
IndiGo,parking charges,4151.45,TRANSPORTATION,2024-11-09,2024-11-09 10:09:56
Reliance Digital,medicine purchase,2000.0,SHOPPING,2025-02-08,2025-02-08 10:09:56
FreshMenu,canteen rchg,500.0,FOOD_DINING,2025-06-12,2025-06-12 10:09:56
Max Hospital,physiotherapy,5873.38,HEALTHCARE,2024-09-05,2024-09-05 10:09:56
TaxiService,Debit Card Payment - metro recharge,200.0,TRANSPORTATION,2025-07-31,2025-07-31 10:09:56
Concert Tickets,entertainment,306.19,ENTERTAINMENT,2025-03-24,2025-03-24 10:09:56
Fortis Hospital,doctor consultation,5000.0,HEALTHCARE,2025-04-29,2025-04-29 10:09:56
Max Fashion,medicine purchase,5605.45,SHOPPING,2025-09-16,2025-09-16 10:09:56
Repair Service,cash withdrawal,26582.51,MISCELLANEOUS,2025-10-13,2025-10-13 10:09:56
Shell.com,monthly pass,4358.59,TRANSPORTATION,2025-09-20,2025-09-20 10:09:56
Supermarket India,online shopping,6518.67,SHOPPING,2025-07-16,2025-07-16 10:09:56
Angel Broking,Net Banking - mutual fund SIP,357741.47,INVESTMENT,2024-06-07,2024-06-07 10:09:56
Auto Driver,NEFT Transfer - flight booking,4977.39,TRANSPORTATION,2024-12-18,2024-12-18 10:09:56
Workshop,educational material,1000.0,EDUCATION,2025-05-10,2025-05-10 10:09:56
Indian Railways.com,fuel refill,120.0,TRANSPORTATION,2024-08-14,2024-08-14 10:09:56
Supermarket,cosmetics,2000.0,SHOPPING,2024-10-20,2024-10-20 10:09:56
Subway,weekend dining,171.73,FOOD_DINING,2025-05-03,2025-05-03 10:09:56
BSNL,broadband pymnt,788.29,UTILITIES,2025-09-27,2025-09-27 10:09:56
Dish TV,Mobile Banking - phone bill,2164.8,UTILITIES,2025-02-21,2025-02-21 10:09:56
Punjabi Tadka,QR Code Payment - mess fees,1343.75,FOOD_DINING,2025-07-09,2025-07-09 10:09:56
Max Fashion,electronics,2000.0,SHOPPING,2024-12-02,2024-12-02 10:09:56
BigBasket,NEFT Transfer - electronics,4659.45,SHOPPING,2024-05-16,2024-05-16 10:09:56
